precision,N,tflops,pct_peak,seconds_per_call,reps,gpu_uuid
FP32,1024,46.36297811541687,56.12951345692116,4.631893237431844e-05,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
FP32,4096,51.50927896462745,62.3599018942221,0.002668236796061198,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
FP32,8192,52.891773357516826,64.0336239195119,0.020787951660156248,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
FP32,16384,49.644640651050366,60.10247052185275,0.17718111979166667,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
TF32,1024,50.291415685197656,60.88549114430709,4.2700799306233724e-05,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
TF32,4096,71.82283392296733,86.95258344184907,0.001913582992553711,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
TF32,8192,83.86009123116597,101.52553417816704,0.01311126200358073,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
TF32,16384,82.86321084610685,100.31865719867658,0.10615196940104167,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
FP16,1024,102.63386437794898,31.072922911882824,2.0923733711242678e-05,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
FP16,4096,160.92007110092553,48.71936757521208,0.0008540821075439453,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
FP16,8192,149.77427941934016,45.344922621659144,0.007341124471028646,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
FP16,16384,151.799330927119,45.958017234973966,0.0579455322265625,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
BF16,1024,115.01748257802262,69.62317347337932,1.8670932451883955e-05,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
BF16,4096,145.2625198786978,87.93130743262579,0.0009461418787638347,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
BF16,8192,154.55082006524108,93.5537651726641,0.007114240010579428,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
BF16,16384,153.55118477224278,92.94865906310096,0.05728443603515625,30,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
