seq_len,latency_s_naive,peak_mem_MB_naive,status_naive,gpu_uuid_naive,implementation_naive,latency_s_fused,peak_mem_MB_fused,status_fused,gpu_uuid_fused,implementation_fused,speedup
512,4.423680007457733e-05,77.006336,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,naive,1.5878400206565857e-05,76.226048,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,fused,2.7859733662768513
1024,4.19840008020401e-05,80.479744,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,naive,1.525759994983673e-05,77.354496,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,fused,2.751677913962436
2048,5.242879986763001e-05,93.718016,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,naive,1.9046400487422942e-05,81.208832,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,fused,2.7526880946481582
4096,0.00012810239791870116,145.360384,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,naive,4.248639941215515e-05,82.527744,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,fused,3.0151389548451992
8192,0.000852070426940918,349.308416,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,naive,0.0001341439962387085,85.165568,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,fused,6.3519087758848585
16384,0.0034772991180419925,1159.857664,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,naive,0.0004921343803405762,86.181376,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,fused,7.065751260124452
32768,0.01426956844329834,4387.374592,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,naive,0.001837056040763855,92.538368,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,fused,7.767628274075405
49152,0.0374200325012207,9764.47232,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,naive,0.003972095966339111,100.992512,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,fused,9.420727197512536
65536,0.2445199432373047,17289.053696,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,naive,0.007102464199066162,109.446656,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,fused,34.42747986951548
81920,,,OOM,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,naive,0.010988448143005371,117.9008,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,fused,
98304,,,OOM,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,naive,0.015708160400390626,126.354944,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,fused,
114688,,,OOM,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,naive,0.02129715156555176,134.809088,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,fused,
131072,,,OOM,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,naive,0.027838464736938476,143.263232,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,fused,
