elapsed_s,timestamp,gpu_uuid,sm_clock_mhz,mem_clock_mhz,temp_c,power_w,util_pct
0.1,2026/09/22 06:27:18.592,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,210,405,28,21.71,0
5.2,2026/09/22 06:27:23.677,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2415,10501,61,448.58,99
10.3,2026/09/22 06:27:28.761,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2415,10501,62,449.7,99
15.3,2026/09/22 06:27:33.848,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2400,10501,65,449.98,99
20.4,2026/09/22 06:27:38.932,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2370,10501,67,450.58,99
25.5,2026/09/22 06:27:44.028,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2370,10501,69,450.21,99
30.6,2026/09/22 06:27:49.112,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2370,10501,70,449.53,99
35.7,2026/09/22 06:27:54.205,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2370,10501,71,448.34,99
40.8,2026/09/22 06:27:59.293,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2370,10501,71,448.88,99
45.9,2026/09/22 06:28:04.377,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2370,10501,72,449.46,99
51.0,2026/09/22 06:28:09.464,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2370,10501,72,448.55,99
56.0,2026/09/22 06:28:14.553,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2355,10501,73,448.54,99
61.1,2026/09/22 06:28:19.643,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2370,10501,73,449.61,99
66.2,2026/09/22 06:28:24.733,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2370,10501,74,449.37,99
71.3,2026/09/22 06:28:29.820,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2370,10501,74,449.11,99
76.4,2026/09/22 06:28:34.909,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2370,10501,74,448.91,99
81.5,2026/09/22 06:28:39.998,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2355,10501,75,449.45,99
86.6,2026/09/22 06:28:45.088,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2355,10501,75,449.25,99
91.7,2026/09/22 06:28:50.190,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,75,449.68,99
96.8,2026/09/22 06:28:55.280,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2355,10501,76,449.53,99
101.9,2026/09/22 06:29:00.378,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2355,10501,76,449.61,99
107.0,2026/09/22 06:29:05.469,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,76,449.89,99
112.1,2026/09/22 06:29:10.557,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,76,449.9,99
117.1,2026/09/22 06:29:15.646,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,76,449.7,99
122.2,2026/09/22 06:29:20.733,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,77,449.77,99
127.3,2026/09/22 06:29:25.824,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,77,449.85,99
132.4,2026/09/22 06:29:30.913,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,77,449.84,99
137.5,2026/09/22 06:29:35.989,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,77,449.85,99
142.6,2026/09/22 06:29:41.081,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,77,449.86,99
147.7,2026/09/22 06:29:46.169,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,77,449.84,99
152.8,2026/09/22 06:29:51.256,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,77,449.92,99
157.8,2026/09/22 06:29:56.345,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,77,449.96,99
162.9,2026/09/22 06:30:01.437,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,78,450.15,99
168.0,2026/09/22 06:30:06.528,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,78,449.84,99
173.1,2026/09/22 06:30:11.617,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,78,450.09,99
178.2,2026/09/22 06:30:16.705,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,78,450.07,99
183.3,2026/09/22 06:30:21.793,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,78,449.91,99
188.4,2026/09/22 06:30:26.885,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,78,450.22,99
193.5,2026/09/22 06:30:31.953,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,78,450.11,99
198.5,2026/09/22 06:30:37.046,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,78,449.89,99
203.6,2026/09/22 06:30:42.133,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,78,449.85,99
